pde,reference,pde_replicates,reference_n,reference_L,reference_S,note,overlap_start,overlap_end,time_points_compared,output_max_l2,output_rms_l2,output_terminal_l2,output_max_abs_component,output_initial_l2,output_time_of_max_l2,output_initial_centered_max_l2,output_initial_centered_rms_l2,output_initial_centered_terminal_l2,loss_max_abs,loss_terminal_abs,depth_interpolated,depth_points_compared,gram_max_fro,gram_rms_fro,gram_terminal_max_fro,gram_max_abs_entry,gram_initial_max_fro,gram_time_of_max_fro,gram_depth_fraction_of_max_fro,gram_initial_centered_max_fro,gram_initial_centered_rms_fro,gram_initial_centered_terminal_max_fro,theta_max_fro,theta_rms_fro,theta_terminal_fro,theta_max_abs_entry,theta_initial_fro,theta_initial_centered_max_fro,theta_initial_centered_terminal_fro,pde_terminal_feature_motion_max_fro,reference_terminal_feature_motion_max_fro,gram_increment_gap_fraction_pde_feature_motion,output_active_points,output_active_max_abs_z,output_active_rms_z,output_active_fraction_within_1p96_sem,gram_unique_points,gram_max_abs_z,gram_rms_z,gram_fraction_within_1p96_sem,bootstrap_replicates,output_mean_sup_bootstrap_p95,gram_mean_sup_bootstrap_p95,gram_increment_mean_sup_bootstrap_p95,theta_mean_sup_bootstrap_p95,loss_of_mean_sup_bootstrap_p95,output_discrepancy_over_ref_bootstrap_p95,gram_discrepancy_over_ref_bootstrap_p95,gram_increment_gap_over_ref_bootstrap_p95,loss_gap_over_ref_bootstrap_p95
m3_P5_N16_M256_R128_QMC_replicate_mean,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,3,64,16,64,Matching depth N=L=16. Exact reference is finite n=64; SEM excludes finite-width and depth-limit bias.,0.0,4.0,101,0.025636512208931126,0.006523539811261108,1.186773983760711e-06,0.021717113882131187,0.025636512208931126,0.0,0.025635566717455958,0.02367228495624619,0.025635566717455958,0.0023091581214286783,1.0030320028745497e-12,False,17,0.04869327192272536,0.040952840012817994,0.04869327192272536,0.026593733319758117,0.04292962401937642,4.0,1.0,0.015596580629042761,0.012101773153408801,0.015596580629042761,0.08340117870246738,0.06292609097059906,0.06348846130330915,0.053626132107710056,0.08340117870246738,0.09800094280990405,0.07162789626631949,0.6332643246934303,0.6398471868125979,0.024628863526448018,195,3.059426500527479,1.4385275302618488,0.7897435897435897,10302,1.3396564737613534,0.80581766572195,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674127921,0.6100804550960515,1.0224359005736667,0.07810902568231767
pde_GH_P5_N16_M81_R243_s20260723_dt0p02_T8.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,8.0,201,0.025636512208930956,0.005261387566569013,3.7567617785667675e-11,0.021717113882131083,0.025636512208930956,0.0,0.025636512173670037,0.02491577203171936,0.025636512173670037,0.0049770389564199324,7.348086186606482e-22,False,17,0.04372880216869783,0.039399206631720016,0.04372880216869783,0.02659577728346263,0.042933370072171115,8.0,0.0625,0.030981721028517477,0.020606544651415887,0.024517012219535405,0.14173941633855336,0.12850880285663455,0.1288943780705869,0.11484650524494855,0.09311795320317572,0.123379300389134,0.123379300389134,0.6481940268319759,0.6398480425066111,0.04779698631278582,195,2.466115000952275,1.4723826287024844,0.8051282051282052,20502,1.5245168163894365,0.7863687252287329,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674127881,0.5478803636408256,2.0310108090056747,0.16835211935524752
pde_P5_N16_M128_R32_s20260723_dt0p02_T8.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,8.0,201,0.025636512208930155,0.004287135876670731,3.747597176106409e-11,0.02171711388213008,0.025636512208930155,0.0,0.025636512173740078,0.0247369340143805,0.025636512173740078,0.004437601732179497,7.347033925306935e-22,False,17,0.05650915373478707,0.04333492102698247,0.05650915373478707,0.03420704568254984,0.0429226174926783,8.0,1.0,0.01937096950173054,0.01234449367015201,0.01937096950173054,0.1289349179548156,0.12696910323692587,0.1289349179548156,0.08934142610118156,0.11426698451701561,0.043087596135151986,0.04140936729530678,0.6244872575922776,0.6398480425066111,0.03101899881258695,195,2.2529174703039767,1.0470981626401838,0.9384615384615385,20502,1.6777990401110352,0.8549983932622184,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674127692,0.7080060317639477,1.2698664610245702,0.15010524591198354
pde_P15_N16_M128_R32_s20260723_dt0p02_T8.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,8.0,201,0.025636512208930172,0.004896775472012016,3.7941749118135016e-11,0.02177629686910105,0.025636512208930172,0.0,0.025636512173325014,0.024521523050745984,0.025636512173325014,0.005632970655301384,7.3503881586557795e-22,False,17,0.05884313709466747,0.045105827967650634,0.05884313709466747,0.03616934731596477,0.042905567878231174,8.0,1.0,0.020654757629560042,0.012732880619514135,0.020654757629560042,0.14339547536291414,0.13367674144960803,0.13446050401575335,0.10553819245577722,0.14339547536291414,0.09373485921114826,0.08978338950814109,0.622015390047634,0.6398480425066111,0.03320618421994077,195,2.8430068894898946,1.4508013168692682,0.8358974358974359,20502,1.7740466911799326,0.889762000080621,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674127697,0.7372486267705465,1.3540253610964827,0.19053950680105783
pde_P35_N16_M64_R64_s20260723_dt0p02_T8.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,8.0,201,0.02563651220893103,0.004892756109841506,3.810658041118533e-11,0.021717113882130934,0.02563651220893103,0.0,0.025636512173203865,0.024565191928945285,0.025636512173203865,0.0037006458505121076,7.351174061825644e-22,False,17,0.05449658924478036,0.04417531365707857,0.05449658924478036,0.027401520923027167,0.04289860150233919,8.0,1.0,0.01870519440806305,0.012777880918056294,0.01870519440806305,0.1302016548408611,0.10965894169673669,0.11152320411569165,0.08004002034251867,0.1302016548408611,0.09635495715120498,0.08454341888626259,0.6278440780364799,0.6398480425066111,0.02979273845595819,195,3.4242459780209953,1.540714812867008,0.7846153846153846,20502,1.4810830159816157,0.8724758394558432,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674127898,0.6827905099579379,1.2262214869328858,0.1251771540010325
pde_QMC_P5_N16_M256_R128_s20260723_dt0p02_T8.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,8.0,201,0.025636512208931487,0.004611543863213272,3.7896066952074646e-11,0.021717113882131336,0.025636512208931487,0.0,0.025636512173384574,0.024683140209113434,0.025636512173384574,0.0023755651949499135,7.350318286056064e-22,False,17,0.04789832010791345,0.04115469088104198,0.04789832010791345,0.026591111890978514,0.04292992064351583,8.0,1.0,0.014809519414935177,0.011782361236661968,0.014783778228696233,0.0847989384974546,0.06352124187462883,0.06351493241139042,0.054428268781676614,0.0847989384974546,0.10342447336318449,0.07834936329997325,0.6338011211613804,0.6398480425066111,0.023366193148724852,195,3.0057183787086617,1.427887197065844,0.7948717948717948,20502,1.3159238880246007,0.8145835858887305,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674128005,0.6001204637911021,0.9708399988569657,0.08035529533489066
pde_QMC_P5_N16_M512_R128_s20260723_dt0p02_T4.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,4.0,101,0.025636512208930276,0.006483389026997592,1.1646886379007224e-06,0.02171711388213051,0.025636512208930276,0.0,0.025635585293069505,0.023701175821965438,0.025635585293069505,0.002376877883450701,9.96619434849401e-13,False,17,0.04846895117322692,0.04053385345123148,0.04846895117322692,0.026591111890978958,0.04292992064351636,4.0,1.0,0.01498977701532913,0.011683032801246288,0.01498977701532913,0.08479893849745708,0.06404537797122807,0.06458195854828964,0.054428268781677946,0.08479893849745708,0.09890572886258445,0.07298489497699141,0.6331501954311014,0.6398471868125979,0.02367491493092384,195,2.969597843555781,1.4083915446289894,0.8,10302,1.314595779256702,0.7975331507809913,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674127721,0.6072699291334775,0.9826568096296325,0.0803996980195182
pde_QMC_P5_N16_M256_R256_s20260723_dt0p02_T4.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,4.0,101,0.025636512208931497,0.006486300907631252,1.1707840993049055e-06,0.021717113882131336,0.025636512208931497,0.0,0.025635581997709322,0.02370459751891351,0.025635581997709322,0.002354941118921039,9.990120122994258e-13,False,17,0.04878473209414175,0.04105676695824114,0.04878473209414175,0.026595771032456916,0.04293334997125831,4.0,1.0,0.015562384773243725,0.012083169371140337,0.015562384773243725,0.08415486915677385,0.06357373716417591,0.06398875006825688,0.05489137661181642,0.08415486915677385,0.09883061231874911,0.07305316655296325,0.6331538426615764,0.6398471868125979,0.024579152371285364,195,3.004616539064545,1.4164516435529435,0.7948717948717948,10302,1.3534586879730457,0.8078615503494118,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674128009,0.6112263641877516,1.0201941867357842,0.07965767031334527
pde_QMC_P15_N16_M128_R64_s20260723_dt0p02_T4.npz,exact_ensemble_n64_L16_S64_seed1000_dt0p02_T8p0.npz,1,64,16,64,Matching depth N=L=16; deterministic cubature run. Exact SEM excludes finite-width bias.,0.0,4.0,101,0.02563651220893014,0.0066707093324907775,1.2892837415642632e-06,0.021717113882130067,0.02563651220893014,0.0,0.02563544096591097,0.02327736703690273,0.02563544096591097,0.004377238263453653,1.0160166801843358e-12,False,17,0.05595036703219489,0.04421516922989851,0.05595036703219489,0.032399425758463885,0.04291581238379518,4.0,1.0,0.01910946864464743,0.012443404557479944,0.01910946864464743,0.12487224676862817,0.12031647623292316,0.12487224676862817,0.10221302285285594,0.11916865923544157,0.13222966264909458,0.1287090135981765,0.6252561475814568,0.6398471868125979,0.030562624163815836,195,3.2677420948930322,1.5859528479295943,0.8102564102564103,10302,1.5891256233648146,0.8680462048918508,1.0,500,0.04251116209758966,0.07981450891597414,0.015254335866230692,0.17744120103548472,0.029563268793294215,0.6030536674127689,0.7010049650383421,1.2527237378423695,0.1480634057775957
pde_QMC_P5_N32_M128_R64_s20260724_dt0p02_T4.npz,exact_ensemble_n64_L32_S64_seed4000_dt0p02_T8p0.npz,1,64,32,64,Matching depth N=L=32. Single QMC scramble; exact reference is finite-width.,0.0,4.0,101,0.04310912188842746,0.011625330930600569,8.265391545208811e-07,0.035219475753857366,0.04310912188842746,0.0,0.043108631408392946,0.03907221684702862,0.043108631408392946,0.020658175313041705,5.377145701345947e-13,False,33,0.09009061630253395,0.08190124363707786,0.08737288490088033,0.05797363048779236,0.07590070327637945,0.52,0.09375,0.024282262918294193,0.017715808353445363,0.022082747975172755,0.16100908474973363,0.15288708186037064,0.16100908474973363,0.1291431378016461,0.06704503898914084,0.11798240056163917,0.11798240056163917,0.6300521671197202,0.6419047001004442,0.03854008316374883,195,3.620366300991041,1.8545039333892743,0.6923076923076923,19998,2.970700149595783,1.6555603582397336,0.772077207720772,500,0.04926269504820006,0.08369767063031773,0.017233922991267605,0.18490167198358579,0.03380715372065092,0.8750865507103952,1.0763814049312443,1.408980586172862,0.6110592889227101
